category,category_label,completed_cases,expected_cases,comparison,baseline,candidate,num_2q_valid_cases,num_2q_ratio_geomean,num_2q_improvement_geomean_pct,num_2q_ratio_best,num_2q_improvement_best_pct,num_2q_ratio_worst,num_2q_improvement_worst_pct,num_2q_improved_cases,num_2q_equal_cases,num_2q_regressed_cases,depth_2q_valid_cases,depth_2q_ratio_geomean,depth_2q_improvement_geomean_pct,depth_2q_ratio_best,depth_2q_improvement_best_pct,depth_2q_ratio_worst,depth_2q_improvement_worst_pct,depth_2q_improved_cases,depth_2q_equal_cases,depth_2q_regressed_cases
binaryoptimization,Binary optimization,15,15,rho_0_35_over_0_00,rho_0_00,rho_0_35,15,0.8767831029438076,-12.321689705619242,0.5065935947936291,-49.340640520637095,1.3672727272727272,36.72727272727272,8,1,6,15,0.34254548723575284,-65.74545127642472,0.08792184724689166,-91.20781527531084,1.0,0.0,14,1,0
binaryoptimization,Binary optimization,15,15,rho_1_00_over_0_00,rho_0_00,rho_1_00,15,0.8629352600641267,-13.70647399358733,0.5065935947936291,-49.340640520637095,1.3672727272727272,36.72727272727272,9,0,6,15,0.3358683804940214,-66.41316195059785,0.08792184724689166,-91.20781527531084,0.7352941176470589,-26.470588235294112,15,0,0
binaryoptimization,Binary optimization,15,15,rho_0_35_over_1_00,rho_1_00,rho_0_35,15,1.0160473717097291,1.6047371709729141,0.9583333333333334,-4.1666666666666625,1.3333333333333333,33.33333333333333,4,9,2,15,1.01988012903123,1.9880129031230043,0.8947368421052632,-10.526315789473683,1.6666666666666667,66.66666666666667,3,9,3
discreteoptimization,Discrete optimization,15,15,rho_0_35_over_0_00,rho_0_00,rho_0_35,15,1.2212910550346423,22.12910550346423,0.7853403141361257,-21.46596858638743,1.8151401087411125,81.51401087411125,7,0,8,15,0.5334218986620579,-46.65781013379421,0.1958041958041958,-80.41958041958041,1.3427592116538132,34.27592116538132,13,0,2
discreteoptimization,Discrete optimization,15,15,rho_1_00_over_0_00,rho_0_00,rho_1_00,15,1.222963144127101,22.296314412710096,0.7853403141361257,-21.46596858638743,1.8128398159765788,81.28398159765788,7,0,8,15,0.5301366183627575,-46.98633816372425,0.1958041958041958,-80.41958041958041,1.3427592116538132,34.27592116538132,13,0,2
discreteoptimization,Discrete optimization,15,15,rho_0_35_over_1_00,rho_1_00,rho_0_35,15,0.998632755941593,-0.13672440584070467,0.9772727272727273,-2.2727272727272707,1.0031479538300105,0.31479538300105414,5,7,3,15,1.0061970446588775,0.6197044658877493,0.9931972789115646,-0.6802721088435382,1.088235294117647,8.823529411764696,1,10,4
chemistry,Chemistry,35,35,rho_0_35_over_0_00,rho_0_00,rho_0_35,35,0.9836746840216083,-1.6325315978391708,0.7777777777777778,-22.22222222222222,1.3017366136034731,30.173661360347314,7,25,3,35,0.9339132614827401,-6.608673851725988,0.5,-50.0,1.2206451612903226,22.064516129032263,6,26,3
chemistry,Chemistry,35,35,rho_1_00_over_0_00,rho_0_00,rho_1_00,35,1.2582689257659219,25.826892576592186,0.7777777777777778,-22.22222222222222,1.8450704225352113,84.50704225352112,4,6,25,35,1.1113073394843693,11.130733948436934,0.5,-50.0,1.6637335009428034,66.37335009428034,4,6,25
chemistry,Chemistry,35,35,rho_0_35_over_1_00,rho_1_00,rho_0_35,35,0.7817682403805967,-21.823175961940333,0.5419847328244275,-45.80152671755725,1.0,0.0,24,11,0,35,0.8403735207184563,-15.962647928154372,0.601057801284473,-39.89421987155271,1.0,0.0,24,11,0
condensedmatter,Condensed matter,35,35,rho_0_35_over_0_00,rho_0_00,rho_0_35,35,0.8178919256699491,-18.210807433005094,0.5609731577360008,-43.90268422639993,1.1514032496307238,15.140324963072382,24,0,11,35,0.25741941161623805,-74.2580588383762,0.018461538461538463,-98.15384615384616,1.8373205741626795,83.73205741626795,32,0,3
condensedmatter,Condensed matter,35,35,rho_1_00_over_0_00,rho_0_00,rho_1_00,35,0.8184363152097606,-18.156368479023943,0.5609731577360008,-43.90268422639993,1.1514032496307238,15.140324963072382,23,0,12,35,0.2541936252110932,-74.58063747889068,0.018461538461538463,-98.15384615384616,1.813397129186603,81.3397129186603,32,0,3
condensedmatter,Condensed matter,35,35,rho_0_35_over_1_00,rho_1_00,rho_0_35,35,0.9993348419056015,-0.0665158094398488,0.9724137931034482,-2.758620689655178,1.0048929663608563,0.48929663608563434,6,21,8,35,1.0126902726316052,1.269027263160516,0.9827160493827161,-1.7283950617283939,1.2445255474452555,24.452554744525546,5,22,8
all,All,100,100,rho_0_35_over_0_00,rho_0_00,rho_0_35,100,0.9362639412558286,-6.373605874417143,0.5065935947936291,-49.340640520637095,1.8151401087411125,81.51401087411125,46,26,28,100,0.4705438550036214,-52.94561449963786,0.018461538461538463,-98.15384615384616,1.8373205741626795,83.73205741626795,65,27,8
all,All,100,100,rho_1_00_over_0_00,rho_0_00,rho_1_00,100,1.0185307956321232,1.8530795632123231,0.5065935947936291,-49.340640520637095,1.8450704225352113,84.50704225352112,43,6,51,100,0.495944560930395,-50.4055439069605,0.018461538461538463,-98.15384615384616,1.813397129186603,81.3397129186603,64,6,30
all,All,100,100,rho_0_35_over_1_00,rho_1_00,rho_0_35,100,0.9192298802067758,-8.077011979322425,0.5419847328244275,-45.80152671755725,1.3333333333333333,33.33333333333333,39,48,13,100,0.9487831747179125,-5.121682528208749,0.601057801284473,-39.89421987155271,1.6666666666666667,66.66666666666667,33,52,15
