category,category_label,completed_cases,expected_cases,auto_num_2q_ratio_geomean,auto_num_2q_improvement_geomean_pct,auto_num_2q_ratio_best,auto_depth_2q_ratio_geomean,auto_depth_2q_improvement_geomean_pct,auto_depth_2q_ratio_best,replay_num_2q_ratio_geomean,replay_num_2q_improvement_geomean_pct,replay_num_2q_ratio_best,replay_depth_2q_ratio_geomean,replay_depth_2q_improvement_geomean_pct,replay_depth_2q_ratio_best
binaryoptimization,Binary optimization,15,15,0.9998108924607386,-0.018910753926137946,0.9971671388101983,0.9969034697940664,-0.309653020593359,0.9545454545454546,0.999915828447266,-0.008417155273399146,0.9987381703470032,0.9959174765651392,-0.40825234348608186,0.967741935483871
discreteoptimization,Discrete optimization,15,15,1.0,0.0,1.0,1.0,0.0,1.0,1.0000033350003108,0.000333500031080014,0.9998263888888889,0.9989917099078768,-0.10082900921232207,0.9922978177150192
chemistry,Chemistry,35,35,1.0,0.0,1.0,1.0,0.0,1.0,0.9997456299522789,-0.02543700477211086,0.9932432432432432,0.9962170086826783,-0.3782991317321738,0.9696969696969697
condensedmatter,Condensed matter,35,35,0.9999174661703005,-0.008253382969947154,0.997804954531201,0.9947540268437773,-0.5245973156222661,0.9069767441860465,0.9998699481622054,-0.013005183779457585,0.997804954531201,0.9945256699777705,-0.5474330022229523,0.9069767441860465
all,All,100,100,0.9999427447932587,-0.005725520674126905,0.9971671388101983,0.997696533348589,-0.23034666514110125,0.9069767441860465,0.9998533227978736,-0.014667720212635516,0.9932432432432432,0.9959952518099962,-0.40047481900038484,0.9069767441860465
