category,category_label,completed_cases,expected_cases,asap_without_commute_avg_ratio,asap_without_commute_avg_improvement_rate_pct,asap_without_commute_max_ratio,asap_without_commute_max_improvement_rate_pct,asap_with_commute_avg_ratio,asap_with_commute_avg_improvement_rate_pct,asap_with_commute_max_ratio,asap_with_commute_max_improvement_rate_pct
binaryoptimization,Binary optimization,15,15,0.5012097681740767,-49.87902318259233,0.33,-67.0,0.4367159863291783,-56.32840136708217,0.2410358565737052,-75.89641434262948
discreteoptimization,Discrete optimization,15,15,0.48457173855227875,-51.54282614477212,0.22950819672131148,-77.04918032786885,0.40157806897206133,-59.842193102793864,0.22950819672131148,-77.04918032786885
chemistry,Chemistry,35,35,0.7556364344809237,-24.436356551907636,0.13333333333333333,-86.66666666666667,0.7249251218744643,-27.507487812553567,0.13333333333333333,-86.66666666666667
condensedmatter,Condensed matter,35,35,0.15447304185485203,-84.5526958145148,0.008756567425569177,-99.12434325744309,0.1483708171108688,-85.16291828891312,0.008756567425569177,-99.12434325744309
all,All,100,100,0.3813419625040263,-61.86580374959737,0.008756567425569177,-99.12434325744309,0.35291485165524883,-64.70851483447511,0.008756567425569177,-99.12434325744309
