category,category_label,completed_cases,expected_cases,num_2q_valid_cases,num_2q_ratio_geomean,num_2q_improvement_geomean_pct,num_2q_ratio_best,num_2q_improvement_best_pct,num_2q_ratio_worst,num_2q_improvement_worst_pct,num_2q_improved_cases,num_2q_equal_cases,num_2q_regressed_cases,depth_2q_valid_cases,depth_2q_ratio_geomean,depth_2q_improvement_geomean_pct,depth_2q_ratio_best,depth_2q_improvement_best_pct,depth_2q_ratio_worst,depth_2q_improvement_worst_pct,depth_2q_improved_cases,depth_2q_equal_cases,depth_2q_regressed_cases
binaryoptimization,Binary optimization,15,15,15,0.8603239114998932,-13.967608850010683,0.49932478055367996,-50.067521944632,1.3197278911564625,31.97278911564625,8,0,7,15,0.32347764350796926,-67.65223564920308,0.08022690437601297,-91.9773095623987,0.6666666666666666,-33.333333333333336,15,0,0
discreteoptimization,Discrete optimization,15,15,15,1.2668519950056452,26.685199500564515,0.9208282582216809,-7.917174177831909,1.7945234113712374,79.45234113712374,6,0,9,15,0.5931890232410577,-40.68109767589423,0.2641509433962264,-73.58490566037736,1.4263494967978043,42.63494967978043,12,0,3
chemistry,Chemistry,35,35,35,1.264537957270746,26.453795727074603,0.7894736842105263,-21.052631578947366,1.84,84.00000000000001,4,6,25,35,1.101817172461133,10.181717246113298,0.5,-50.0,1.736842105263158,73.6842105263158,6,4,25
condensedmatter,Condensed matter,35,35,35,0.8394911664566704,-16.050883354332957,0.5198837088568166,-48.011629114318346,1.1163522012578617,11.635220125786173,22,0,13,35,0.23270358692512003,-76.729641307488,0.016194331983805668,-98.38056680161942,1.893854748603352,89.3854748603352,34,0,1
all,All,100,100,100,1.0344034996757696,3.440349967576961,0.49932478055367996,-50.067521944632,1.84,84.00000000000001,40,6,54,100,0.4848138538314552,-51.51861461685448,0.016194331983805668,-98.38056680161942,1.893854748603352,89.3854748603352,67,4,29
