LiH_frz_BK_sto3g,LiH_frz_JW_sto3g,NH_frz_BK_sto3g,NH_frz_JW_sto3g,amp
0.00011145529046741043,0.00011145529047484892,0.0005379422579773196,0.0005379422579905313,0.6
0.0003494731504538606,0.00034947315046185423,0.0016723302133238027,0.0016723302133370144,0.8
0.0008445072380829366,0.0008445072380907082,0.003996423786886361,0.003996423786900127,1.0
0.0017292248583394842,0.0017292248583470338,0.008071135342907043,0.008071135342921254,1.2
0.003155840169458468,0.0031558401694660176,0.014488871746677567,0.014488871746691334,1.4
0.0052904205506129065,0.005290420550620123,0.023825089468024863,0.02382508946803852,1.6
0.008306449453967968,0.008306449453975406,0.03658839406821324,0.03658839406822678,1.8
