category,program,num_qubits,num_gates,num_2q_gates,depth,depth_2q,num_gates(opt),num_2q_gates(opt),depth(opt),depth_2q(opt)
chemistry,all-vib-c2h-mu_z_prime_enc_gray_dvalues_4-4-4-4,4,24,8,11,4,24,8,11,4
chemistry,all-vib-ch2-mu_y_prime_enc_gray_dvalues_16-16-16,4,184,96,154,92,184,96,154,92
chemistry,all-vib-cyclo_propene-mu_x_prime_enc_stdbinary_dvalues_8-8-8-8-8-8-8-8-8-4-4-4-4-4-4,11,302,114,66,36,302,114,66,36
chemistry,all-vib-cyclo_propene-mu_x_prime_enc_unary_dvalues_16-16-16-16-16-16-16-16-16-16-16-16-16-16-16,64,840,240,150,60,840,240,150,60
chemistry,all-vib-f2-enc_gray_dvalues_d-level-16,4,766,356,565,350,766,356,565,350
chemistry,all-vib-fccf-enc_gray_dvalues_4-4-4-4-4-4-4,14,11917,5954,8158,5689,11917,5954,8158,5689
chemistry,all-vib-fccf-mu_y_prime_enc_stdbinary_dvalues_16-16-16-16-8-8-8,4,334,144,219,141,334,144,219,141
chemistry,all-vib-fccf-mu_y_prime_enc_unary_dvalues_8-8-8-8-8-8-8,8,98,28,70,28,98,28,70,28
chemistry,all-vib-fccf-mu_z_prime_enc_unary_dvalues_16-16-16-16-16-16-16,16,210,60,150,60,210,60,150,60
chemistry,all-vib-h2co-mu_y_prime_enc_unary_dvalues_16-16-16-16-16-16,32,420,120,150,60,420,120,150,60
chemistry,all-vib-hc3h2cn-mu_y_prime_enc_stdbinary_dvalues_4-4-4-4-4-4-4-4-4-4-4-4-4-4-4-4-4-4,24,240,72,16,6,240,72,16,6
chemistry,all-vib-hco-enc_unary_dvalues_4-4-4,12,30396,13296,17552,12633,30396,13296,17552,12633
chemistry,all-vib-hno-mu_x_prime_enc_unary_dvalues_4-4-4,12,126,36,30,12,126,36,30,12
chemistry,all-vib-o3-enc_gray_dvalues_8-8-8,9,45115,25094,31584,24821,45115,25094,31584,24821
chemistry,all-vib-o3-mu_y_prime_enc_unary_dvalues_4-4-4,4,42,12,30,12,42,12,30,12
condensedmatter,BH_D-1_d-4-bh_graph-1D-grid-nonpbc-qubitnodes_Lx-12_U-40_enc-unary_d-4,48,11904,4752,6675,4358,11904,4752,6675,4358
condensedmatter,BH_D-1_d-4-bh_graph-1D-grid-pbc-qubitnodes_Lx-14_U-10_enc-stdbinary_d-4,28,5446,2268,3521,2204,5446,2268,3521,2204
condensedmatter,BH_D-1_d-4-bh_graph-1D-grid-pbc-qubitnodes_Lx-24_U-20_enc-stdbinary_d-4,48,9336,3888,6071,3804,9336,3888,6071,3804
condensedmatter,BH_D-1_d-4-bh_graph-1D-grid-pbc-qubitnodes_Lx-46_U-2_enc-gray_d-4,92,13478,5980,9824,5788,13478,5980,9824,5788
condensedmatter,BH_D-1_d-4-bh_graph-1D-grid-pbc-qubitnodes_Lx-60_U-10_enc-stdbinary_d-4,120,23340,9720,15251,9564,23340,9720,15251,9564
condensedmatter,BH_D-1_d-8-bh_graph-1D-grid-pbc-qubitnodes_Lx-10_U-30_enc-unary_d-8,80,58860,23520,33833,22354,58860,23520,33833,22354
condensedmatter,BH_D-1_d-8-bh_graph-1D-grid-pbc-qubitnodes_Lx-4_U-40_enc-gray_d-8,12,12728,6944,9577,6739,12728,6944,9577,6739
condensedmatter,BH_D-2_d-4-bh_graph-2D-grid-nonpbc-qubitnodes_Lx-7_Ly-7_U-70_enc-gray_d-4,98,24437,10850,17081,10226,24437,10850,17081,10226
condensedmatter,BH_D-2_d-4-bh_graph-2D-triag-nonpbc-qubitnodes_Lx-11_Ly-11_U-100_enc-gray_d-4,156,57414,25500,39550,23850,57414,25500,39550,23850
condensedmatter,BH_D-2_d-4-bh_graph-2D-triag-nonpbc-qubitnodes_Lx-3_Ly-5_U-30_enc-gray_d-4,28,8134,3612,5676,3410,8134,3612,5676,3410
condensedmatter,BH_D-2_d-4-bh_graph-2D-triag-pbc-qubitnodes_Lx-10_Ly-10_U-30_enc-stdbinary_d-4,100,57850,24100,33869,21042,57850,24100,33869,21042
condensedmatter,BH_D-2_d-4-bh_graph-2D-triag-pbc-qubitnodes_Lx-3_Ly-22_U-70_enc-unary_d-4,132,106986,42768,58446,38201,106986,42768,58446,38201
condensedmatter,BH_D-2_d-4-bh_graph-2D-triag-pbc-qubitnodes_Lx-5_Ly-5_U-30_enc-unary_d-4,60,48630,19440,26807,17524,48630,19440,26807,17524
condensedmatter,BH_D-3_d-4-bh_graph-3D-grid-nonpbc-qubitnodes_Lx-2_Ly-2_Lz-2_U-20_enc-unary_d-4,32,12976,5184,7115,4648,12976,5184,7115,4648
condensedmatter,FH_D-1-fh-graph-1D-grid-nonpbc-qubitnodes_Lx-90_U-2_enc-jw,180,2942,892,915,366,2942,892,915,366
condensedmatter,FH_D-1-fh-graph-1D-grid-pbc-qubitnodes_Lx-160_U-12_enc-parity,320,7164,4136,4620,3183,7164,4136,4620,3183
condensedmatter,FH_D-1-fh-graph-1D-grid-pbc-qubitnodes_Lx-50_U-2_enc-jw,100,2034,884,1275,686,2034,884,1275,686
condensedmatter,FH_D-2-fh-graph-2D-grid-pbc-qubitnodes_Lx-2_Ly-105_U-8_enc-bk,420,16270,8872,3010,2321,16270,8872,3010,2321
condensedmatter,FH_D-2-fh-graph-2D-grid-pbc-qubitnodes_Lx-5_Ly-72_U-0_enc-parity,720,67452,33000,31654,26949,67452,33000,31654,26949
condensedmatter,FH_D-2-fh-graph-2D-triag-nonpbc-qubitnodes_Lx-16_Ly-16_U-4_enc-bk,306,32119,18060,10376,8701,32119,18060,10376,8701
condensedmatter,heis-graph-2D-grid-nonpbc-qubitnodes_Lx-4_Ly-133_h-0.1,532,16291,5562,3537,1632,16291,5562,3537,1632
condensedmatter,heis-graph-2D-grid-nonpbc-qubitnodes_Lx-5_Ly-186_h-0.5,930,29303,10014,4954,2286,29303,10014,4954,2286
condensedmatter,heis-graph-2D-grid-nonpbc-qubitnodes_Lx-5_Ly-58_h-2,290,9079,3102,1626,750,9079,3102,1626,750
condensedmatter,heis-graph-2D-grid-pbc-qubitnodes_Lx-2_Ly-185_h-0.5,370,9805,3330,4785,2208,9805,3330,4785,2208
