program,num_qubits,num_gates,num_2q_gates,depth,depth_2q,num_gates(all2all),num_2q_gates(all2all),depth(all2all),depth_2q(all2all),num_gates(hhex),num_2q_gates(hhex),depth(hhex),depth_2q(hhex),num_gates(square),num_2q_gates(square),depth(square),depth_2q(square)
uccsd_10,10,13304,7328,9225,7267,3518,1171,1365,682,8658,5739,4104,3295,5776,3227,2904,2115
uccsd_15,15,39480,24720,28950,24238,11352,3784,3374,1688,27526,18596,11159,9042,20219,12074,8525,6460
uccsd_20,20,85384,57664,64325,55735,23912,7979,5985,2996,65103,46352,23439,19516,44668,27650,16528,12625
uccsd_25,25,160384,115888,125901,112025,42172,14076,9000,4501,127166,93973,41000,35110,83973,54040,27965,21809
uccsd_30,30,253272,189840,202235,182647,65535,21858,13438,6724,193068,142516,58218,49039,128870,82260,40352,30885
uccsd_35,35,388192,301072,317075,290178,96353,32121,18588,9294,274477,201084,75314,62406,191375,122753,56929,43319
