program,num_qubits,num_gates,num_2q_gates,depth,depth_2q,num_gates(all2all),num_2q_gates(all2all),depth(all2all),depth_2q(all2all),num_gates(all2all_opt),num_2q_gates(all2all_opt),depth(all2all_opt),depth_2q(all2all_opt),num_gates(hhex),num_2q_gates(hhex),depth(hhex),depth_2q(hhex),num_gates(square),num_2q_gates(square),depth(square),depth_2q(square)
LiH_frz_BK,10,3566,1442,2064,1438,847,279,405,202,814,279,399,202,1765,1088,881,676,1270,669,695,470
LiH_frz_JW,10,3392,1616,2137,1576,691,227,317,158,663,227,310,158,1433,862,749,568,969,496,554,376
